SOLAR-7,SOLAR-13,SOLAR-11,SOLAR-2,SOLAR-5,SOLAR-15,SOLAR-12,SOLAR-6,SOLAR-1,SOLAR-9,SOLAR-8,SOLAR-16,SOLAR-17,SOLAR-14,SOLAR-10,SOLAR-3,SOLAR-4,SOLAR-18,time_CST
0.9577777777777777,0.8977528089887641,0.8977528089887641,0.9023569023569024,0.8944381384790012,0.9577777777777777,0.8944381384790012,0.8944381384790012,0.8944381384790012,0.9577777777777777,0.8944381384790012,0.7811111111111111,0.8944381384790012,0.9,0.8944381384790012,0.8944381384790012,0.9023569023569024,0.8855555555555555,2016-02-05T13:00:00Z
0.9299999999999999,0.851685393258427,0.851685393258427,0.8518518518518519,0.8354143019296254,0.9299999999999999,0.8354143019296254,0.8354143019296254,0.8354143019296254,0.9299999999999999,0.8354143019296254,0.8166666666666667,0.8354143019296254,0.8522222222222222,0.8354143019296254,0.8354143019296254,0.8518518518518519,0.8322222222222222,2016-02-05T14:00:00Z
0.8655555555555555,0.75505617977528094,0.75505617977528094,0.745230078563412,0.6742338251986378,0.8655555555555555,0.6742338251986378,0.6742338251986378,0.6742338251986378,0.8655555555555555,0.6742338251986378,0.7566666666666667,0.6742338251986378,0.758888888888889,0.6742338251986378,0.6742338251986378,0.745230078563412,0.7255555555555556,2016-02-05T15:00:00Z
0.7411111111111112,0.5808988764044943,0.5808988764044943,0.5432098765432098,0.3371169125993189,0.7411111111111112,0.3371169125993189,0.3371169125993189,0.3371169125993189,0.7411111111111112,0.3371169125993189,0.5344444444444444,0.3371169125993189,0.5766666666666667,0.3371169125993189,0.3371169125993189,0.5432098765432098,0.5133333333333333,2016-02-05T16:00:00Z
0.4555555555555555,0.2292134831460674,0.2292134831460674,0.16273849607182939,0.06469920544835414,0.4555555555555555,0.06469920544835414,0.06469920544835414,0.06469920544835414,0.4555555555555555,0.06469920544835414,0.12333333333333334,0.06469920544835414,0.17222222222222222,0.06469920544835414,0.06469920544835414,0.16273849607182939,0.13,2016-02-05T17:00:00Z
0.009999999999999998,0,0,0,0,0.009999999999999998,0,0,0,0.009999999999999998,0,0,0,0,0,0,0,0,2016-02-05T18:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-05T19:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-05T20:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-05T21:00:00Z
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-05T22:00:00Z
